"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Adrián Peña",56,62,58,58,53,44,53,58,65,57,61,60,55,37,55,56,52,49,62,66,45,54,55,68,49,49,55,45,53,40,40,53,52,55,53,53,"CAM",3,2,"Right",184,70,"ST",20,"Bolivia","Sudamericana","Wilstermann","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adrian-pena/277075",NA,NA,NA,NA,NA,"M"
"Jaden Pinas",56,61,31,38,46,56,62,64,59,31,28,41,23,34,48,32,32,34,46,40,32,42,48,62,51,47,41,56,57,54,57,59,66,64,67,45,"CB",2,2,"Right",187,79,"",20,"Holland","Eredivisie","Almere City FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jaden-pinas/275865",NA,NA,NA,NA,NA,"M"
"Ernesto Pinillos",56,54,55,57,62,20,50,20,21,NA,NA,43,NA,NA,15,32,11,13,24,26,13,13,22,44,49,10,38,NA,10,NA,11,10,46,27,55,20,"GK",1,1,"Right",180,80,"",20,"Peru","Sudamericana","ADT","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ernesto-pinillos/70533",54,55,57,50,62,"M"
"Alfie Pond",56,64,21,33,41,54,65,64,64,29,17,32,16,23,31,32,26,27,40,33,28,36,48,51,51,42,42,52,52,55,56,55,66,52,73,59,"CB",3,2,"Right",191,84,"",20,"England","Premier League","Wolves","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alfie-pond/264622",NA,NA,NA,NA,NA,"M"
"Kristian Popović",56,63,43,52,54,52,65,58,67,49,40,49,42,42,42,52,43,45,58,57,47,52,64,62,52,54,53,52,47,51,54,52,57,63,70,56,"CDM",3,2,"Right",184,76,"CM",23,"Australia","A-League","Macarthur FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kristian-popovic/253752",NA,NA,NA,NA,NA,"M"
"Davide Popșa",56,62,28,43,48,55,58,61,63,48,28,28,23,31,30,39,46,38,44,40,45,49,53,65,60,41,45,52,42,58,57,59,49,59,59,58,"RB",3,2,"Right",175,65,"",22,"Romania","SUPERLIGA","Sepsi OSK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/davide-popsa/70242",NA,NA,NA,NA,NA,"M"
"James Pradic",56,56,58,50,56,30,55,33,26,NA,NA,38,NA,NA,19,28,10,11,17,30,14,NA,31,38,48,17,32,NA,10,NA,11,14,48,18,54,17,"GK",3,1,"Right",190,81,"",19,"Wales","EFL Championship","Preston","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/james-pradic/270757",56,58,50,55,56,"M"
"Dejan Radonjic",56,61,24,36,36,58,60,61,61,21,20,35,18,31,33,27,28,26,45,40,31,31,49,53,55,30,49,57,57,56,60,56,64,58,62,54,"CB",3,2,"Right",185,75,"",18,"Austria","Ö. Bundesliga","FK Austria Wien","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dejan-radonjic/73666",NA,NA,NA,NA,NA,"M"
"Ramhlunchhunga Ramhlunchhunga",56,70,41,51,58,39,45,69,70,53,41,43,39,37,36,54,53,48,48,47,59,56,68,77,54,55,51,31,41,43,42,36,37,64,38,39,"LM",3,2,"Right",169,64,"RM, LW",23,"India","ISL","Hyderabad FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ramhlunchhunga-ramhlunchhunga/277567",NA,NA,NA,NA,NA,"M"
"Jonas Dobloug Rasen",56,74,52,50,58,30,52,75,73,51,53,54,50,45,50,51,48,38,53,48,45,55,73,73,52,56,55,29,47,25,29,28,56,51,52,50,"RW",2,3,"Right",179,71,"LW, RM",20,"Norway","Eliteserien","HamKam Fotball","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonas-dobloug-rasen/274922",NA,NA,NA,NA,NA,"M"
"Peter Remmert",56,53,55,42,49,26,67,49,57,59,57,56,51,40,64,43,28,27,52,41,46,48,45,41,54,53,49,17,64,22,25,21,70,60,76,50,"ST",3,2,"Right",193,89,"",19,"Germany","Bundesliga 2","FC Schalke 04","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/peter-remmert/72965",NA,NA,NA,NA,NA,"M"
"Laldinliana Renthlei",56,68,27,41,49,52,70,67,68,42,25,30,24,29,32,41,47,31,42,31,48,46,71,66,50,44,49,59,43,54,50,49,65,72,67,77,"RB",3,2,"Right",175,68,"",26,"India","ISL","Odisha FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/laldinliana-renthlei/248274",NA,NA,NA,NA,NA,"M"
"Jake Richards",56,72,49,55,58,52,51,73,71,54,47,50,51,41,49,58,46,45,60,57,50,54,71,74,57,56,55,52,48,52,54,50,52,55,49,50,"CM",3,2,"Left",178,74,"CAM",17,"England","EFL League One","Exeter City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jake-richards/278136",NA,NA,NA,NA,NA,"M"
"Mauro Rodas",56,57,55,52,57,21,54,18,25,NA,NA,39,NA,NA,14,31,10,14,21,20,10,14,27,35,48,11,28,NA,11,NA,13,14,50,26,64,27,"GK",2,1,"Right",188,80,"",24,"Paraguay","Sudamericana","S. Trinidense","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mauro-rodas/71774",57,55,52,54,57,"M"
"Luca Ross",56,80,52,49,55,24,38,79,80,52,54,62,40,47,51,51,53,36,50,41,50,56,54,72,50,52,50,18,34,19,27,31,42,41,39,30,"RM",3,2,"Right",177,66,"ST, RW",18,"Scotland","Scottish Prem","Motherwell","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-ross/276789",NA,NA,NA,NA,NA,"M"
"Ruan Yang",56,67,54,48,59,35,51,70,65,52,57,59,43,54,58,47,54,45,47,48,47,58,69,74,47,57,56,30,50,32,34,44,52,63,48,44,"RM",3,3,"Left",176,68,"RW",30,"China PR","CSL","SZ Peng City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruan-yang/222349",NA,NA,NA,NA,NA,"M"
"Noah Rupp",56,59,49,58,58,48,50,63,55,51,49,57,43,42,46,57,53,44,62,62,48,55,64,61,58,61,55,40,54,41,56,57,58,35,58,48,"CM",3,2,"Left",184,75,"CAM",21,"Switzerland","Bundesliga 2","Karlsruher SC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noah-rupp/263985",NA,NA,NA,NA,NA,"M"
"Mansour Saeed",56,69,32,44,53,52,62,68,69,44,29,31,34,35,39,38,49,32,47,45,45,53,61,74,53,50,41,55,53,50,50,52,73,59,65,55,"LB",3,2,"Left",176,66,"",22,"United Arab Emirates","United Emirates League","Al Ain FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mansour-saeed/277572",NA,NA,NA,NA,NA,"M"
"Charles Sagoe Jr",56,61,55,53,60,27,35,58,64,48,58,59,46,54,61,53,57,43,55,44,55,61,62,66,45,60,51,21,33,23,30,33,29,38,32,38,"RW",3,2,"Right",179,72,"LW, RM",20,"England","EFL League One","Shrewsbury","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/charles-sagoe-jr/278779",NA,NA,NA,NA,NA,"M"
"Rodrigo Sandoval",56,59,38,49,48,54,65,63,55,35,34,46,45,25,39,45,41,37,57,54,33,45,54,60,49,51,39,53,52,51,58,54,66,60,72,55,"CB",3,2,"Right",186,81,"LB",23,"Chile","Libertadores","Cobresal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-sandoval/259548",NA,NA,NA,NA,NA,"M"
"Santiago Santacruz",56,63,43,50,58,45,52,67,60,51,40,49,44,36,37,48,41,29,59,58,36,55,56,75,63,63,37,48,45,38,52,40,47,58,47,59,"CM",2,2,"Right",175,70,"",20,"Colombia","Sudamericana","Indep. Medellín","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/santiago-santacruz/71592",NA,NA,NA,NA,NA,"M"
"Talha Sarıarslan",56,45,58,54,58,31,46,57,36,56,58,60,60,43,64,45,55,41,59,58,47,61,50,70,54,57,46,18,63,21,37,38,50,54,44,40,"ST",2,2,"Right",175,68,"",20,"Turkey","Trendyol Süper Lig","Kayserispor","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/talha-sar-arslan/274549",NA,NA,NA,NA,NA,"M"
"Aron Sasu",56,70,47,50,56,33,55,70,70,51,50,50,41,38,46,49,47,38,54,50,44,57,61,62,48,55,54,24,46,36,30,37,65,55,59,40,"LM",2,2,"Right",190,86,"ST, LW",19,"Norway","EFL League Two","AFC Wimbledon","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aron-sasu/274228",NA,NA,NA,NA,NA,"M"
"Maarten Schut",56,62,54,52,60,25,44,32,15,NA,NA,39,NA,NA,11,36,12,10,22,23,10,14,30,46,52,16,35,NA,13,NA,14,14,48,28,52,24,"GK",3,1,"Right",180,76,"",20,"Holland","Eredivisie","Willem II","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maarten-schut/260042",62,54,52,44,60,"M"
"Josh Seary",56,67,42,52,56,50,57,67,67,48,43,51,31,36,39,48,60,32,54,50,45,55,65,67,52,55,48,51,44,46,54,52,51,55,57,62,"RB",3,2,"Right",181,76,"",20,"Republic of Ireland","EFL Championship","Preston","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/josh-seary/277325",NA,NA,NA,NA,NA,"M"
"Jack Senga",56,54,37,45,53,55,66,55,53,45,36,38,39,28,35,47,36,31,54,44,30,54,44,58,53,53,50,55,55,53,56,56,62,66,66,68,"CDM",2,2,"Right",189,78,"CM, CB",20,"Belgium","EFL League One","Reading","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-senga/264053",NA,NA,NA,NA,NA,"M"
"Hitesh Sharma",56,70,46,53,59,52,63,69,71,50,45,48,49,35,38,56,44,42,58,57,40,56,74,68,55,58,47,53,46,52,52,51,58,73,60,59,"CM",3,2,"Right",173,65,"CDM",26,"India","ISL","Mumbai City FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hitesh-sharma/248251",NA,NA,NA,NA,NA,"M"
"Ross Sinclair",56,57,54,53,55,24,54,19,32,NA,NA,40,NA,NA,17,43,10,13,32,31,12,12,34,53,52,29,21,NA,11,NA,12,12,42,17,50,25,"GK",3,1,"Right",197,75,"",23,"Scotland","Scottish Prem","St. Johnstone","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ross-sinclair/252730",57,54,53,54,55,"M"
"Sandeep Singh",56,61,33,42,51,54,67,66,56,32,28,51,30,23,28,30,45,30,49,44,40,47,65,62,47,51,43,51,45,54,58,57,72,63,74,52,"RB",3,2,"Right",175,73,"CB, LB",29,"India","ISL","Kerala Blasters","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandeep-singh/258410",NA,NA,NA,NA,NA,"M"
"Boris Singh",56,75,46,51,57,49,46,78,73,50,48,47,44,37,45,52,53,42,50,52,49,55,70,91,47,53,48,50,45,45,54,52,56,63,35,51,"RM",4,2,"Right",161,63,"RB, LM, RW",24,"India","ISL","FC Goa","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/boris-singh/259648",NA,NA,NA,NA,NA,"M"
"Raf Smekens",56,63,44,51,57,53,43,61,64,40,45,56,38,32,34,58,31,27,58,57,51,52,60,82,58,62,44,55,49,54,54,50,38,58,31,53,"CM",3,2,"Left",170,65,"CDM",20,"Belgium","1A Pro League","KVC Westerlo","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raf-smekens/251621",NA,NA,NA,NA,NA,"M"
"Ramzi Solan",56,80,48,46,60,47,53,79,81,48,47,50,48,49,54,49,44,41,47,41,46,58,79,73,54,56,51,50,47,45,48,46,55,69,48,46,"RB",2,2,"Right",170,66,"RM, ST",26,"Saudi Arabia","ROSHN Saudi League","Damac FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ramzi-solan/242558",NA,NA,NA,NA,NA,"M"
"Song Jun Seok",56,63,40,49,54,52,56,63,63,52,28,52,55,28,32,46,49,45,53,45,52,51,66,80,53,52,49,56,37,55,51,49,47,63,55,53,"LB",3,2,"Left",174,68,"LM",23,"Korea Republic","K League 1","Gangwon FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/song-jun-seok/261582",NA,NA,NA,NA,NA,"M"
"Karim Sow",56,52,28,34,31,57,66,50,53,21,26,41,21,24,34,33,31,31,35,39,29,27,45,34,50,27,37,50,66,58,56,57,72,56,76,51,"CB",3,2,"Right",198,80,"",21,"Switzerland","CSSL","Lausanne-Sport","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/karim-sow/263968",NA,NA,NA,NA,NA,"M"
"Alexandru Stan",56,62,52,46,55,26,63,57,66,55,57,54,42,46,47,46,40,35,54,42,40,54,58,60,52,56,48,24,53,24,21,22,64,53,73,52,"ST",3,2,"Right",188,79,"LW",18,"Romania","SUPERLIGA","FC Gloria Buzău","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexandru-stan/272751",NA,NA,NA,NA,NA,"M"
"Taylor Steven",56,78,52,49,56,22,45,81,75,52,52,53,52,43,50,51,52,39,50,40,52,51,82,80,55,53,50,18,42,20,19,20,46,55,40,45,"RM",3,2,"Right",175,63,"LM, RW",19,"Scotland","Scottish Prem","St. Johnstone","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/taylor-steven/277641",NA,NA,NA,NA,NA,"M"
"Miłosz Strzeboński",56,60,41,56,57,40,48,58,62,60,37,51,33,43,52,62,40,40,62,65,48,52,65,64,49,60,60,24,47,41,45,50,49,39,54,45,"CAM",3,2,"Right",181,75,"CM",20,"Poland","PKO BP Ekstraklasa","Korona Kielce","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mi-osz-strzebonski/269427",NA,NA,NA,NA,NA,"M"
"Jakov Šuver",56,60,25,32,36,54,63,57,62,29,21,38,15,25,37,33,24,27,38,31,26,29,45,48,46,38,37,45,60,55,58,54,73,30,78,64,"CB",3,2,"Right",190,81,"",21,"Croatia","3. Liga","VfB Stuttgart II","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jakov-suver/72526",NA,NA,NA,NA,NA,"M"
"Gianluca Swajkowski",56,60,29,36,52,55,63,58,62,32,27,38,27,21,31,28,35,31,41,38,32,52,56,58,53,52,38,52,56,53,57,57,64,59,68,54,"CB",3,2,"Right",185,75,"RB",19,"Germany","3. Liga","Rot-Weiss Essen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluca-swajkowski/71288",NA,NA,NA,NA,NA,"M"
"Sil Swinkels",56,48,31,37,37,56,58,46,49,29,24,50,23,35,48,38,28,29,46,33,28,32,40,49,51,36,47,56,59,52,58,61,59,52,63,54,"CB",3,2,"Right",190,78,"",20,"Holland","Premier League","Aston Villa","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sil-swinkels/264411",NA,NA,NA,NA,NA,"M"
"Chris Sze",56,67,53,49,56,27,50,68,67,57,58,53,45,48,50,53,44,32,53,46,48,54,70,62,52,56,53,25,54,22,25,23,55,52,50,48,"ST",3,2,"Right",186,81,"CAM",20,"England","EFL League One","Wigan Athletic","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chris-sze/265694",NA,NA,NA,NA,NA,"M"
"Liam Tahwildaran",56,78,38,49,57,49,57,77,79,49,35,39,41,34,33,50,50,25,53,51,37,56,71,65,49,55,52,50,47,45,52,50,62,60,57,53,"LB",3,3,"Right",178,75,"",20,"Sweden","Allsvenskan","Brommapojkarna","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/liam-tahwildaran/70143",NA,NA,NA,NA,NA,"M"
"Kian Taylor",56,65,45,55,59,50,55,65,65,46,46,52,42,24,37,54,46,31,62,60,45,57,72,73,55,56,51,53,51,44,54,53,54,56,52,59,"CM",3,2,"Right",174,69,"CB",19,"England","EFL Championship","Preston","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kian-taylor/276910",NA,NA,NA,NA,NA,"M"
"Basil Tuma",56,87,54,47,57,27,48,88,86,55,53,60,52,55,50,45,50,40,51,36,53,56,68,69,51,55,47,21,47,27,26,20,59,40,46,60,"ST",2,2,"Right",178,73,"RM, LM",19,"Malta","EFL League One","Reading","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/basil-tuma/271928",NA,NA,NA,NA,NA,"M"
"Cian Tyler",56,58,54,55,60,26,52,24,28,NA,NA,41,NA,NA,10,41,11,14,25,17,12,NA,25,27,49,15,23,NA,12,NA,11,14,52,20,63,19,"GK",2,1,"Right",203,89,"",22,"Wales","EFL Championship","Coventry City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cian-tyler/254293",58,54,55,52,60,"M"
"Joël van der Wilt",56,57,58,55,56,28,56,24,33,NA,NA,41,NA,NA,17,39,14,14,27,25,13,11,38,34,39,17,33,11,11,10,17,14,41,22,48,28,"GK",2,1,"Right",187,78,"",20,"Holland","Eredivisie","Almere City FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joel-van-der-wilt/277857",57,58,55,56,56,"M"
"Simon Wæver",56,68,33,44,53,51,59,68,68,47,28,44,29,26,35,31,50,29,50,48,27,51,64,68,54,48,54,47,39,48,57,59,53,52,62,64,"RB",2,2,"Right",182,76,"",28,"Denmark","3F Superliga","Sønderjyske","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/simon-w-ver/73295",NA,NA,NA,NA,NA,"M"
"Wang Qiao",56,68,35,46,53,54,64,67,68,45,30,44,32,38,38,41,48,27,51,46,34,53,54,76,51,50,38,56,58,51,55,47,67,61,67,61,"RB",3,2,"Left",178,60,"CDM",29,"China PR","CSL","SZ Peng City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wang-qiao/241322",NA,NA,NA,NA,NA,"M"
"Wang Xianjun",56,67,37,48,50,52,67,61,71,37,34,49,32,34,39,52,33,32,62,40,31,42,73,61,62,51,38,58,40,51,56,47,53,58,69,77,"CB",2,2,"Right",188,80,"",24,"China PR","CSL","Tianjin JMT FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wang-xianjun/243102",NA,NA,NA,NA,NA,"M"
"Wang Yaopeng",56,63,27,34,49,56,67,63,63,39,22,40,18,25,36,22,24,23,47,38,20,47,56,51,53,48,43,59,51,55,57,52,66,68,73,50,"CB",2,2,"Right",188,80,"",29,"China PR","CSL","Changchun Yatai","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wang-yaopeng/224550",NA,NA,NA,NA,NA,"M"
"Yusuf Wardak",56,66,47,52,61,27,46,69,63,52,49,51,41,37,44,56,44,40,59,47,42,62,74,78,42,58,46,24,29,28,29,24,39,48,47,45,"CAM",3,2,"Right",180,74,"CM",18,"Germany","3. Liga","SV Waldhof","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yusuf-wardak/73171",NA,NA,NA,NA,NA,"M"
"Alexander Warneryd",56,69,37,48,58,50,57,68,69,55,38,38,33,28,37,54,56,27,49,37,33,56,66,71,46,57,56,51,42,46,54,51,50,62,56,56,"RB",3,2,"Right",179,74,"LB, LM",19,"Sweden","Allsvenskan","Västerås SK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-warneryd/70330",NA,NA,NA,NA,NA,"M"
"Mitchell Wassenne",56,71,42,47,62,17,49,73,70,55,41,45,43,29,44,45,48,37,50,47,36,63,70,75,48,59,54,17,32,15,15,18,47,56,52,33,"RM",1,3,"Left",172,76,"RW",23,"Chile","Sudamericana","Everton","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mitchell-wassenne/263473",NA,NA,NA,NA,NA,"M"
"Leon-Oumar Wechsel",56,58,55,56,59,23,54,24,21,NA,NA,42,NA,NA,13,25,10,10,15,23,13,13,37,29,41,19,29,14,13,NA,12,12,51,23,60,27,"GK",2,1,"Right",190,84,"",19,"Germany","Bundesliga 2","Hannover 96","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leon-oumar-wechsel/276041",58,55,56,54,59,"M"
"Wei Lai",56,68,28,34,52,54,58,67,68,45,25,37,20,26,35,29,55,25,26,30,50,49,63,71,55,52,43,56,56,54,53,52,64,62,60,47,"LB",2,2,"Right",178,69,"RB",27,"China PR","CSL","Nantong Zhiyun FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wei-lai/241621",NA,NA,NA,NA,NA,"M"
"Wei Minzhe",56,56,56,53,56,23,55,19,29,13,12,40,11,18,12,25,13,12,26,23,16,10,35,25,49,16,20,15,16,16,13,15,51,26,60,22,"GK",3,1,"Right",193,78,"",25,"China PR","CSL","SZ Peng City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wei-minzhe/261931",56,56,53,55,56,"M"
"Charlie Whitaker",56,63,55,51,59,37,49,65,62,51,59,54,47,51,58,52,41,46,57,53,48,58,70,67,48,58,56,28,41,33,43,46,46,46,52,47,"CAM",3,3,"Right",179,74,"",20,"England","Premier League","Everton","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/charlie-whitaker/268633",NA,NA,NA,NA,NA,"M"
"Kai Whitmore",56,64,50,54,58,47,62,66,63,49,49,54,52,43,41,55,47,43,58,56,50,58,62,56,56,58,55,50,41,48,48,41,53,69,63,52,"CM",3,2,"Right",178,71,"CAM",23,"Wales","EFL League Two","Newport County","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kai-whitmore/72953",NA,NA,NA,NA,NA,"M"
"Andrew Wogan",56,57,56,56,57,26,54,27,24,NA,10,42,NA,12,18,48,13,12,31,30,11,14,24,32,50,18,26,14,12,14,15,16,46,21,54,20,"GK",2,1,"Right",189,80,"",18,"Republic of Ireland","SSE Airtricity PD","Drogheda United","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrew-wogan/274852",57,56,56,54,57,"M"
"Josh Woods",56,77,54,42,55,20,53,78,76,57,56,53,49,51,59,43,45,34,46,34,37,54,64,68,56,52,49,11,51,14,21,18,62,54,53,49,"ST",2,2,"Right",179,70,"",24,"England","EFL League Two","Accrington","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/josh-woods/263811",NA,NA,NA,NA,NA,"M"
"Bachirou Yameogo",56,58,35,47,51,55,74,57,58,35,31,46,30,28,49,38,38,36,57,53,39,52,56,39,49,52,47,49,59,47,63,61,76,56,89,57,"CDM",3,2,"Right",192,91,"",20,"Burkina Faso","Ligue 2 BKT","Grenoble Foot 38","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bachirou-yameogo/276756",NA,NA,NA,NA,NA,"M"
"Yan Zhiyu",56,72,28,35,49,57,46,58,84,43,26,29,28,22,30,33,48,34,32,26,31,47,83,89,50,34,56,49,38,66,60,59,34,58,42,44,"LB",3,2,"Right",170,70,"RB",31,"China PR","CSL","Changchun Yatai","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yan-zhiyu/242700",NA,NA,NA,NA,NA,"M"
"Noah Yannick",56,55,35,49,54,56,55,56,55,33,32,48,28,32,47,38,43,37,61,54,36,51,57,68,47,58,37,57,49,58,54,56,52,45,58,59,"CDM",2,2,"Left",180,70,"",20,"Cameroon","CSSL","FC St. Gallen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noah-yannick/73496",NA,NA,NA,NA,NA,"M"
"Ye Daochi",56,63,28,43,54,51,52,61,64,40,28,25,28,22,30,35,49,26,50,40,33,51,60,67,54,56,48,53,35,50,55,54,42,56,51,51,"RB",3,2,"Right",180,72,"LB, LM",23,"China PR","CSL","Nantong Zhiyun FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ye-daochi/275189",NA,NA,NA,NA,NA,"M"
"Miska Ylitolva",56,73,29,45,54,50,56,75,72,46,30,23,28,32,33,41,50,25,49,41,48,51,70,75,45,54,42,51,45,48,53,51,52,67,49,59,"RB",3,2,"Right",178,69,"RM",20,"Finland","Finnliiga","HJK Helsinki","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/miska-ylitolva/266676",NA,NA,NA,NA,NA,"M"
"Jack Young",56,62,47,57,60,49,44,73,53,53,40,56,53,41,55,56,46,60,61,58,62,55,83,82,53,56,59,48,41,45,55,53,38,60,32,55,"CM",4,2,"Right",171,64,"CDM",23,"England","EFL League One","Wycombe","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-young/251407",NA,NA,NA,NA,NA,"M"
"Yu Sun",56,50,24,36,37,59,62,48,52,29,21,33,16,29,35,35,35,21,35,48,23,32,46,57,50,33,47,58,60,60,57,58,62,59,67,51,"CB",3,2,"Right",188,74,"CDM",20,"Korea Republic","K League 1","Gimcheon Sangmu","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yu-sun/274050",NA,NA,NA,NA,NA,"M"
"Marlon Zacharias",56,57,59,54,57,41,48,41,42,10,NA,41,NA,NA,13,35,12,14,27,27,11,NA,34,36,56,15,23,10,11,12,11,12,54,23,58,23,"GK",3,1,"Right",189,78,"",19,"Germany","3. Liga","SC Verl","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marlon-zacharias/72959",57,59,54,48,57,"M"
"Zhang Chi",56,47,50,57,52,59,58,39,53,57,50,53,45,44,48,57,57,43,60,59,48,54,34,53,52,55,58,60,58,61,58,57,57,34,68,61,"RB",3,2,"Right",182,73,"RM",37,"China PR","CSL","Shandong Taishan","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zhang-chi/192008",NA,NA,NA,NA,NA,"M"
"Zhao Yingjie",56,65,55,52,52,53,66,62,68,56,53,69,53,32,43,59,41,41,55,51,53,46,67,72,59,55,38,58,47,56,51,47,57,77,64,57,"CM",2,2,"Right",184,77,"CAM",32,"China PR","CSL","Cangzhou FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zhao-yingjie/233451",NA,NA,NA,NA,NA,"M"
"Zhu Yue",56,69,26,39,43,54,58,70,68,27,20,36,25,29,33,32,44,29,41,41,35,41,53,60,55,38,42,53,51,55,54,55,60,67,59,45,"RB",3,2,"Right",185,72,"CB",23,"China PR","CSL","Cangzhou FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zhu-yue/261930",NA,NA,NA,NA,NA,"M"
"Adam Zimarino",56,68,57,49,56,33,56,69,67,56,58,60,56,49,48,52,50,42,51,41,45,55,71,68,48,54,50,28,48,29,37,30,55,56,55,60,"ST",3,2,"Left",182,70,"RM",23,"Australia","A-League","Brisbane Roar","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adam-zimarino/267737",NA,NA,NA,NA,NA,"M"
"Malwin Zok",56,56,54,51,60,34,52,31,38,NA,NA,38,NA,NA,10,22,13,14,15,16,14,NA,35,21,56,18,38,NA,12,NA,14,14,59,20,72,19,"GK",3,1,"Right",195,89,"",21,"Germany","3. Liga","SV Waldhof","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/malwin-zok/276607",56,54,51,52,60,"M"
"Albin Ahlstrand",55,63,52,51,58,42,50,61,64,56,54,55,51,38,42,54,38,36,58,55,49,56,74,51,51,57,54,42,40,34,49,47,43,58,50,43,"CM",3,2,"Right",184,64,"",20,"Sweden","Allsvenskan","Halmstads BK","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/albin-ahlstrand/273613",NA,NA,NA,NA,NA,"M"
